LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID162823,162823,66,0.10884010791778564,718.1588369822653,1380.216622434861,0.0,55.0,55,11.5,1,,28.312883435582823,27.0,7.0,44.0,13845.0,5.662851486278547,0.04404959256256408,0.421890447518692
ID162820,162820,34,0.5004939436912537,1180.584526326468,1159.2052149558408,0.0,55.0,55,11.5,1,,42.95501022494888,44.0,22.0,71.0,21005.0,9.01853853715815,0.22254739176890273,1.734061365364755
ID162821,162821,33,0.9814314246177673,922.5153341203638,1164.4024372044105,0.0,55.0,55,11.5,1,,44.86707566462168,34.0,4.0,141.0,21940.0,28.438254941094268,0.2987360513281122,0.7258076754764454
ID162826,162826,4,1.0806103944778442,2716.0986285000386,1547.0847204269503,0.0,55.0,55,11.5,1,,53.441717791411044,47.0,12.0,143.0,26133.0,25.572565864848183,0.33991698817311544,1.0603056504926491
ID162827,162827,5,0.1681460440158844,1164.9745514590152,1587.3884544624632,0.0,55.0,55,11.5,1,,38.16155419222904,39.0,22.0,50.0,18661.0,5.035577770343348,0.06837903589033138,0.9700728666588895
ID162824,162824,0,0.2753208577632904,661.2426967619709,1467.0779984300505,0.0,55.0,55,11.5,1,,37.441717791411044,37.0,22.0,54.0,18309.0,5.634093552462538,0.12825817411417845,1.5109088726494142
ID162825,162825,1,0.9578601717948914,806.1242065961562,1541.9875713104818,0.0,55.0,55,11.5,1,,52.11042944785276,48.0,18.0,115.0,25482.0,19.577925257727475,0.3369371677940046,1.341608822536676
ID162830,162830,9,0.11323120445013046,539.2539005862682,1831.0221394791818,0.0,55.0,55,11.5,1,,32.25766871165644,32.0,15.0,54.0,15774.0,5.884045833746522,0.03084920969302164,0.3281223598338375
ID162831,162831,6,0.11208439618349075,755.1272472728011,1907.508757581193,0.0,55.0,55,11.5,1,,45.805725971370144,46.0,26.0,60.0,22399.0,4.9734013757615045,0.03162939272450597,0.5647593145300643
ID162828,162828,2,0.49068987369537354,3006.2769890516565,1655.6237155071258,0.0,55.0,55,11.5,1,,44.33742331288344,44.0,22.0,72.0,21681.0,9.070683857469593,0.20027813753174334,1.6312182200147494
ID162829,162829,3,0.16757917404174805,640.589638333037,1804.8515678089796,0.0,55.0,55,11.5,1,,36.05112474437628,36.0,9.0,64.0,17629.0,6.1393853955942745,0.06807201745507155,0.7485003408887049
ID162834,162834,10,0.1254318654537201,1525.4589911340581,2019.184773797479,0.0,55.0,55,11.5,1,,34.96319018404908,35.0,16.0,55.0,17097.0,5.622214688055951,0.04871539136175575,0.5777529567768994
